ID	lastname	firstnames	birth_date	birth_city_label	birth_city_id	personnal_information	profesionnal_information	comment
13	ADAM	Cyr, Louis, *Juvenal, Auguste	1815-03-18	Lille (Nord)	23390	<p>Il est né le 18 mars 1815 à Lille (Nord). Son père était employé des contributions indirectes. Il est marié, père d'un enfant et vit chez son beau-père, un instituteur qui tient une pensionnat.<br>Il a fait ses études au collège d'Arras jusqu'en 4e et s'est engagé pour faire un service militaire en Belgique pendant plus de 2 ans. Revenu à Arras, il travaille comme surnuméraire dans l'adminsitration de son père, avant de devenir lithographe Il entre chez Simon rue de la Parcheminerie en 1837 , qu'il quitte après 3 ans pour d'autres imprimeurs ; il décide ensuite de travailler à son compte comme écrivain pour des maison de roulage comme Coquet qui lui confie ses lettres de voiture, puis il revient chez Simon fils</p>	"<p>Le rapport de Cavé, rédigé en août 1844, lui est défavorable, invoquant un manque de ressources pour s'établir. Adam démontre qu'au contraire, il avait des économies : il a pu acheter le matériel de son prédécesseur qu'il utilise déjà  sous le nom de celui-ci, en attendant de recevoir son propre brevet. Il joint le témoignage de Coquet qui atteste qu'il est économe et très ""serré"" en affaires, ce qui explique qu'il ait pu acheter les presses avec ses économies, et celui de Simon père qui dit avoir été témoin de l'achat des presses. Cavé revient le 10 janvier 1845 sur sa décision. Son imprimerie a pour raison sociale, en 1846,  Adam, L'Honneux et cie.<br>Son brevet sera repris par Mansard.</p>"	
14	ADAM	Eugène, Louis, Pierre	1823-12-09	Paris	30798	<p>Il est né le 9 décembre 1823 à Paris. Il est marié et père de deux enfants.Écrivain autographe, il a travaillé chez lui pour différents imprimeurs avant de travailler environ 7 ans chez Mahy.</p>	<p><br>En octobre 1866, le préfet de Police informe la direction de la Librairie que l'imprimerie d'Adam est en fait exploitée par Pécoul qui possède déjà une imprimerie. Adam ne serait qu'un prête-nom, ce que semblent confirmer les déclarations de Pécoul, se prétendant gérant de l'imprimerie, et d'Adam qui reconnaît travailler toujours pour Mahy pendant que Pécoul dirige les ouvriers chez lui. Pour régulariser la situation, Pécoul annonce que son beau-père est en train d'acheter le fonds et le brevet d'Adam, mais il est belge ; il lui faut doncun associé français. L'administration met Adam en demeure de présenter rapidement un successeur, faute de quoi le brevet sera annulé. Le mois suivant, un nommé Victor Dervyn sollicite le transfert du brevet d'Adam, mais il ne semble avoir donné suite.</p>	
15	ADAM	Louis, Vincent, Augustin, Joseph	1808-01-22	Aubers (Nord)	23072	<p>Il est né le 22 janvier 1808 à Aubers (Nord) ; son père était cultivateur. Il est prote. Beau-frère de Bernard Wagrez, il est son associé et travaille comme gérant dans cette imprimerie  la plus importante de Douai.<br>Il meurt le 16 septembre 1859.</p>	<p>Wagrez lui transmet son brevet d'imprimeur en lettres le 9 juillet 1836, mais il garde ses brevets de lithographe et de libraire et Adam doit en demander d'autres ; il obtient celui de libraire  le 18 mars 1839. Il est condamné le 30 septembre 1839 à 2 000 F d'amende, réduite ensuite à 25 F, pour n'avoir pas déposé tous les volumes successifs des <em>Mémoires de la Société d'agriculture.</em></p>	
16	ADAM	Paul, Vincent	1837-09-30	Douai (Nord)	23222	<p>Il est né à Douai le 30 septembre 1837 ; son père était imprimeur.</p>	<p>Il dirige l'imprimerie familiale avant que sa mère ne se démette en sa faveur de ses trois brevets et continue d'imprimer <em>L'Indépendant de Douai</em>. Il  demande à ouvrir une succursale à Carvin, ce qui lui est refusé car illégal. Il se démet en juin 1866 de ses brevets de lithographe et de typographe et, en juillet, de celui de libraire.</p>	
17	ADINE	Charles				<p>Il est instituteur et dirige un orphéon.</p>	<p>Il veut utiliser une presse autographique pour l'activité de sa société d'orphéon.</p>	
18	ADNOT, veuve RIVAUD-LACHALARDERIE	Louise, Augustine, Adolphine		Châlo-Saint-Mars (Seine-et-Oise)	36104	<p>Elle est née à Châlo-Saint-Mars (Seine-et-Oise) le 15 août 1823 ; son père était cordonnier. Elle est couturière quand elle se marie en secondes noces le 3 mai 1849 avec Jean Adolphe Rivaud-Lachalarderie.</p>	"<p>Elle demande à succéder à son beau-frère, Alphonse Rivaud-Lachalarderie, décédé sans héritier le 11 octobre 1858. Il avait obtenu un brevet, mais c'est son mari Jean Adolphe qui l'exploitait depuis 1838. ""L'exploitation de cedit brevet avait servi et aidé dans ses besoins la titulaire et était devenu, pour ainsi dire, l'unique moyen d'existence de toute cette famille. Aujourd'hui l'exposante n'a d'autres ressources que l'exploitation de ce même brevet pour élever ses 4 enfants en bas âge"". Cette argumentation décide l'administration à lui accorder le brevet.</p>"	
19	ADOUL	Auguste, Titus	1819-04-08	Saint-Jean-du-Gard (Gard)	11787	<p>Il est né le 8 avril 1819 à Saint-Jean-du-Gard (Gard). Son père était tailleur d'habit. Il a été élève pendant deux ans de l'École normale de Nîmes. Il est marié et père de famille. Sa femme travaille chez Mme Gosselin, éditeur géographe. == Il est né à Saint-Jean-du-Gard (Gard) le 8 avril 1819. Son père était tailleur d'habits. Il a été élève de l'école normale de Nîmes pendant deux ans. Il a travaillé  dans diverses imprimeries de Lyon, Marseille, Paris, Nîmes et Lille.</p>	<p>Quand il demande le brevet, cela fait déjà 15 ans qu'il exerce dans cette branche de métier. Il a exercé dans plusieurs villes (Lyon, Marseille, Lille, Paris, Nîmes), notamment chez Dupuy et Simon. Il a été breveté lithographe à Cambrai, mais ne semble pas y avoir beaucoup exercé car il est revenu rapidement à Paris. Il s'y est associé avec Léon dit Soulé-Dubernet et il a exercé sous son nom quelques temps. Cette association  dissoute, il demande son propre brevet d'imprimeur lithographe, par transfert de celui de Verpy. Il possède alors deux presses, une centaine de pierres et un matériel, estimé pour le tout 2 500 F.<br> Le 22 septembre 1854, il se plaint de l'installation de l'imprimeur Gélin  juste à côté de chez lui (au 30, rue Geoffroy Lasnier) et de l'importante perte de clientèle qu'elle entraîne. Le 2 mars 1857, les scellés sont mis sur l'une de ses presses qu'il a installée rue Vendôme sans la déclarer. En fait, il est en train de déménager à cette nouvelle adresse. == L'administration lui accorde d'abord  un brevet de libraire le 14 février, avant de corriger son erreur et de lui attribuer un brevet de lithographe. Il passe peu de temps à Cambrai qu'il quitte en 1847 cédant son matériel à Simon. Il part pour  Paris pour s'associer avec Léon dit Soulé-Dubernet et travailler sous son nom et avec son brevet.</p>	
20	ADRIEN	Claude	1803-06-10	Verdun-sur-le-Doubs (Saône-et-Loire)	29800	"<p>Il est né le 10 juin 1803 à Verdun-sur-le-Doubs (Saône-et-Loire). Son père était greffier de la justice de paix. Il est marié, père de famille et paie un loyer de 700 F. En 1830, il a pris part à ""la répression des désordres dans Paris"" comme garde national.</p>"	"<p>Il dirige depuis 4 ans l'établissement de Knecht et Roissy qu'il vient de racheter. Il signe d'ailleurs certaines de ses lithographies ""Adrien successeur de Senefelder"" et précise dans ses publicités ""ancienne maison Senefelder inventeur de la lithographie"", mais aussi ""imprimeur de plusieurs ministères et sociétés"" .<br>Il imprime des cartes et plans, ainsi que des affiches et des affichettes de librairie pour des publications illustrées assez populaires, vendues par livraisons. Il vend aussi ""tous les objets nécessaires à la lithographie"" : encres et crayons, mais aussi presses de 170 à 600 F.<br>En 1838, il imprime une affiche de la Compagnie générale des bateaux à vapeur de Saint Cloud (affiche jointe au dossier) qui ne porte ni nom ni adresse de l'imprimeur. On invoque un oubli dû aux travaux d'agrandissement, à une mutation proche (!) et à la méconnaissance des réglements par un ouvrier polonais... L'<em>Annuaire du commerce</em> de 1839 recense un A. Roger ""successeur de Knecht et Roissy, ancienne maison Senefelder"" qui n'apparaît plus en 1840.<br>Il est sans doute le premier à avoir imprimé ses cartes commerciales dès 1835, et  l'en-tête de son papier à lettres (cf supra, 1837) grâce à la lithographie en couleurs alors qu'Engelmann n'a pas encore déposé son brevet d'invention.<br></p>"	
21	AGLIMAIN	François, Désiré, Xavier					<p>Le Préfet l'a mis en garde, considérant qu'il n'y avait pas place pour lui à Loudun, mais il maintient son désir de créer une librairie et un atelier lithographqiue. Il est remplacé le 30 décembre 1878 par Alexandre Delourdine.</p>	
22	AGUILLON	Dominique	1788-03-15	Pézenas (Hérault)	13667	<p>Il est né le 15 mars 1788 à Pézenas. Il est professeur de dessin et graveur orfèvre.<br></p>	<p>Il obtient un brevet de libraire le 17 mars 1843.</p>	
23	AIGRE	Jean-Baptiste, *Charles	1825-11-02			<p>Il est né le 2 novembre 1825.</p>	<p>Il imprime l<em>'Impartial de Boulogne</em>, qui soutient Napoléon III et <em>The Boulogne Gazette, </em>hebdomadaire<em>.</em></p>	
24	AKA	Jean	1821-05-29	Bordeaux (Gironde)	12988	<p>Il est né à Bordeaux le 29 mai 1821 ; son père était bouvier. Il est écrivain lithographe</p>		
25	ALAMASSÉ	François, Alphonse	1824-06-01	Orléans	17419	<p>Né le 1er juin 1824 à Orléans (Loiret) ; son père était cordonnier. Il est marié.</p>	<p>Il est ouvrier lithographe de formation. Après avoir travaillé, ainsi que sa femme, 9 ans chez Thiboust, il lui a acheté son atelier. Il reprend ses deux brevets de lithographe et d'imprimeur en taille-douce.</p>	
26	ALARINUS frère					<p>Il est le directeur des Écoles chrétiennes de Pontoise.</p>	<p>Il utilise une presse lithographique pour copier de la musique, de la géométrie et des leçons de catéchisme.</p>	
27	ALBERT	Eugène	1829-07-13	Lyon (Rhône)	28533	<p>Il est né à Lyon le 13 juillet 1829. == Il est né le 13 juillet 1829 à Lyon.</p>	<p>Il ouvre une imprimerie typographique et lithographique. Il est rapidement remplacé par Etienne Paris. == Il remplace Étienne Paris à la tête  de l'imprimerie typographique et lithographique dont il était jusque-là le gérant.</p>	
28	ALEXANDRE	Félix, Pierre, Victor	1822-10-23	Paris	30798	<p>Il est né le 23 octobre 1822 à Paris. Il est dessinateur lithographe de formation, créateur de motifs de broderies, de tapisseries à l'aiguille, de papiers peints, de feuilles d'éventails... Il collabore ainsi avec Louis François Desrochers dont il épouse en 1848 la fille unique Louise Adélaïde Sophie. Au décès de son beau-père, il lui succède. Ses talents de dessinateur lithographe lui valent en 1849 une médaille de bronze à l'Exposition des produits de l'industrie française.<br>Il meurt en 1887.</p>	<p>Au décès de Desrochers, le 2 décembre 1847, il prend la direction de son imprimerie, mais n'opère pas le transfert du brevet. Éventailliste, il pensait, dit-il, ne pas avoir besoin d'un brevet, il a donc fallu lui rappeler la réglementation. Il n'a encore qu'une seule presse avec laquelle il fait des décors pour éventails, écrans, abat-jours... , la lithographie n'étant pas le seul procédé utilisé pour la décoration de ces supports. Toutefois, le succès lui permet rapidement d'acquérir une seconde presse et d'employer 6 peintres, 2 monteurs et 2 doreurs.  Poursuivant dans la voie ouverte par Desrochers, il propose une production d'éventails luxueux, ornés de motifs empruntés au XVIIIe siècle, qui séduisent l'impératrice Eugénie ; à l'Exposition universelle de 1855, elle acquiert un éventail dont le décor s'inspire de l'Embarquement pour Cythère. À sa suite, les cours européennes se fournissent chez Alexandre d'éventails de prestige, aux décors dus à des peintres de renom. Toutefois, il a aussi une production d'éventails plus modestes, réalisés en plus grand nombre, lithographiés et moins coûteux.<br>Présent dans de nombreuses expositions fançaises et étrangères, il y est régulièrement récompensé (prize medal à Londres en 1851, New York en 1853, médaille d'or à Paris en 1855).<br>Sa collection d'éventails anciens et modernes, provenant de sa boutique, est vendue aux enchères en 1875 et il ne semble plus avoir d'activité professionnelle après cette date.</p>	Mise à jour E. P., 14/04/2024..
29	ALEXANDRE	Édouard, Marie		Saintes (Charente-inférieure)	6297	<p>Il est né à Saintes (Charente-inférieure).</p>	<p>Il avait d'abord déclaré le 23 mars 1875 qu'il s'installait à Cognac, mais il n'y a jamais exercé. Il remplace l'imprimeur Émile Hairiteau à La Rochelle, mais transfère l'imprimerie du 1, rue du Palais à la rue Dupaty où il habite.</p>	
30	ALIBERT	Jules, Florian	1809-10-15	Montpellier (Hérault)	13640	<p>Il est né le 15 octobre 1809 à Montpellier (Hérault) ; son père était perruquier.</p>	"<p>Il demande un brevet de lithographe afin de ""seconder le commerce pour les différentes écritures lithographiques qu'il emploie par la modération dans les prix qui trop souvent ne sont pas analogues aux besoins du commerçant"". Le Préfet appuie chaleureusement sa demande en soulignant qu'avant de demander son brevet, il s'est déjà procuré une presse  ""afin d'en étudier les mécanismes dans toutes ses parties et il a tiré comme épreuves quelques pièces qui ne seraient pas désavouées, dit-on, par d'anciens lithographes"".<br>Il imprime effectivement des étiquettes, notamment pour les bouteilles de vin.</p>"	
31	ALIX	Louis, Marie	1806-02-11	Paris	30798	<p>Il est né à Paris le 11 février 1806. Son père était brocanteur. Il est marié, père de 5 enfants, et  habite Jonzac depuis 1830.</p>	<p>Il est d'abord papetier-relieur et libraire (le premier à Jonzac) sans brevet. Il semble qu'il reste libraire après avoir traité avec Lagier. Il régularise cette situation en 1852, en soulignant qu'il n'a jamais vendu que des livres classiques et de piété, et le brevet lui est accordé. Peu après avoir obtenu son brevet de lithographe en 1833, il a obtenu celui d'imprimeur en lettres (31/12/1833). Quand il cède son brevet de libraire à Ollière, il annonce qu'il part pour Paris. L'enquête de 1859 sur l'exploitation des brevets de libraire le confirme : il a quitté la ville.</p>	
32	ALKAN	Abraham	1809-02-13			"<p>Il est né le 13 février 1809. Il est marié et père de famille. Il a arrêté ses études en seconde et a été apprenti chez Moronval. Il a travaillé ensuite chez Dondey-Dupré, Paul Dupont et, depuis dix ans, chez Vinchon, imprimeur de la Préfecture. Il est correcteur.<br>Passionné par la typographie et son histoire, il a fondé les  <a href=""http://catalogue.bnf.fr/ark:/12148/cb326940831""></a> en septembre 1838 et prépare, dit-il en 1840, un <em>Dictionnaire typographique. </em>Il écrit des articles et comptes rendus consacrés à l'imprimeri<em>e, </em>collabore à la<em> Bibliographie de la France </em>et participe aux fêtes de Gutenberg à Strasbourg en 1840, participant à l'impression de l'<a href=""http://catalogue.bnf.fr/ark:/12148/cb316392911""><em>Album Gutenberg</em></a> de Silbermann. Il sera correspondant de la Chambre  des imprimeurs de Paris et membre honoraire de la Société fraternelle des protes des imprimeries typographiques de Paris (1856).<br>En 1830, il a sauvé un individu que l'on allait jeter dans la Seine au Pont-au-change et en février et mars 1848, il s'est beaucoup dépensé à Paris pour aider à la diffusion des proclamations ; joint à son amour de l'imprimerie et son goût de l'ordre, cet activisme lui semble justifier la demande qu'il fait fin mars 1848 d'un poste d'inspecteur de la Librairie pour lutter contre ""la presse obscène et clandestine"" qui ne manquera pas de surgir ""à côté de la presse libre"". Il lui est répondu qu'il n'y a pas de place vacante.</p>"	<p>Il a demandé un brevet de typographe par création, pour Bercy en octobre 1838, puis pour Meudon en septembre 1840. Finalement, il reprend avec un associé les brevets de typographe et libraire du parisien Casimir et demande, par la même occasion, un brevet de lithographe. Il est spécialisé en travaux de ville.<br>Le 18 ocotbre 1841, il cède son brevet à Charles Louis Bénard son brevet de typographe. Il sera libraire jusqu'en 1859.</p>	
33	ALLAIR	Jules, Jean	1830-03-17	Savenay (Loire-inférieure)	17166	<p>Il est né à Savenay le 17 mars 1830. Son père était boulanger. Il a ouvert une papeterie à Savenay et demande un brevet de libraire pour vendre des livres religieux et classiques. Il obtient satisfaction le 5 mai 1855.</p>	"<p>Il demande ensuite un brevet de lithographe, pariant sur le développement  de cette ""grande agglomération agricole"". Puis il obtient un brevet d'imprimeur en lettres le 7 octobre 1868.</p>"	
34	ALLARD	Jean-Baptiste, Henry	1831-03-08	Orléans (Loiret)	17419	<p>Né le 8 mars 1831 à Orléans. Son père était tonnelier. Il est marié sans enfant.</p>	<p>Écrivain-lithographe chez Priouzet à Vincennes, il a racheté le 25 /12/1853, l’établissement (papeterie et cabinet de lecture) de Charles Hoff. Il demande un brevet de  libraire et obtient une simple autorisation en 1858 pour un cabinet de lecture. Il est dénoncé comme vendant des livres sans autorisation. En 1866 il demande à pouvoir vendre les journaux du soir, puis à reprendre le brevet de Mme Gorisse, veuve Berdin, décédée, qui lui est accordé. Outre le brevet de lithographe, obtenu en 1856, il demande, en 1860, l’autorisation d’avoir une presse typographique, en plus de ses deux presses lithographiques. En 1874, il fait une déclaration d’imprimeur typographe.</p>	
35	ALLARD	Louis	1815-12-09	Toulouse (Haute-Garonne)	12425	<p>Il est né le 9 décembre 1815 à Toulouse (Haute-Garonne). Son père était bottier. Il est dessinateur sur pierre de formation, ayant d'abord exercé à Toulouse chez Bonnal et Bertrand. Il est célibataire au moment de sa demande de brevet.</p>	<p>Il a toujours été à son compte comme dessinateur. Il possède déjà une presse à son domicile.</p>	
36	ALLARD	Auguste, Emmanuel	1833-09-03	Marseille (Bouches-du-Rhône)	4459	<p>Il est né le 3 septembre 1833 à Marseille. Son père était maçon. En 1859, quand il fait sa demande de brevet, il travaille déjà comme ouvrier lithographe depuis 12 ans.<br>Militant républicain, il est élu au  Conseil municipal de Marseille en 1871, devient adjoint au maire en 1881, mais démissione en 1882 à la suite d'un désaccord avec celui-ci. Réélu, il devient maire Marseille de 1884 à 1887, période pendant laquelle il doit gérer la lutte contre le choléra qui frappe la ville, puis, de nouveau, de 1908 à sa mort, le 2 août 1910.</p>		
37	ALLARD	Jean, Joseph	1797-01-08	Tourves (Var)	34063	<p>Il est né le 8 janvier 1797 à Tourves (Var). Son père, tisserand, était illettré. Il a travaillé chez Arnaud comme lithographe.</p>	<p>En 1859, il a quitté la ville depuis plusieurs années et son brevet sera annulé.</p>	
38	ALLART	Marie, Alphonse					<p>Il a un atelier lithographique.</p>	
39	ALLAYAUD	Victor, Eugène				<p>Il est vicaire à Saint-Péray.</p>	<p>Il utilise une presse autographique pour imprimer des prières, des dessins, de la musique...</p>	
40	ALLEAU	Nicolas, Étienne	1793-08-16	Ablois (Marne)	16114	<p>Il est né le 16 août 1793 à Ablois (Marne). Son père était charpentier. Il est marié et père de six enfants. Il joint à son dossier de brevet un certificat établissant que, lors de la révolution de 1830, grenadier de la 3e légion de la Garde nationale, il a fait la preuve de son civisme et de son patriotisme.</p>	<p>Il est imprimeur en taille douce et possède dix presses travaillant principalement pour les éditeurs de musique. Il demande un brevet d'imprimeur lithographe, s'appuyant sur l'expérience acquise auprès du lithographe Gilbert chez qui il a travaillé. Il fait faillite en 1836 et déclare un actif de 2 900 F et un passif de 1 1297 F. Le 18 juillet 1839, il obtient un concordat avec 15% à payer en 3 ans par tiers. Le 25 juin 1840, l'affaire est réglée. En 1848, il semble que sa situation devienne à nouveau difficile et qu'il fasse appel à son fils Charles Étienne qui lui succède dans son brevet en 1852.</p>	
41	ALLEAU	Charles, Étienne	1818-06-27	Paris	30798	<p>Il est né le 27 juin 1818 à Paris. Son père était également lithographe et l'a formé. Il demande à lui succéder, après avoir travaillé 4 ans avec son brevet. Il a épousé une veuve, mère de 4 enfants, et il est père lui-même  d'une fille.<br>Le 7 avril 1839, il est arrêté avec 485 autres manifestants dont 9 ouvriers du livre.</p>	<p>Ouvrier lithographe de formation, il occupe 1 seul ouvrier avec 2  presses et paye un loyer de 180 F pour son atelier.</p>	
42	ALLEMAND	Joseph, Adolphe	1815-03-06					
43	ALLIEN	François, Adolphe, Auguste	1819-03-12	Montpellier (Hérault)	13640	"<p>Il est né à Montpellier (Hérault) le 12 mars 1819 ; son père était perruquier. Il a été pendant 15 ans compositeur chez Claye à Paris. Il affirme ""être nanti d'une petite fortune"" et ""avoir divorcé des idées avancées"", ce qui doit rassurer l'administration.</p>"	<p>Il reprend les brevets de lithographe et d'imprimeur en lettres que lui cède la veuve de Durandet. En 1852, il emploie 4 ouvriers. Il proteste auprès de la Direction de la Librairie contre la concurrence des particuliers qui possèdent une presse autographique pour leur usage personnel.</p>	
44	ALLIER	Joseph, Louis, Alfred	1807-09-18	Gap (Hautes-Alpes)	1813	<p>Né le 18 septembre 1807 à  Gap (Hautes-Alpes). Son père est déjà imprimeur en lettres, lithographe et libraire à Gap.<br></p>	<p>Il est déjà titulaire d’un brevet d’imprimeur en lettres depuis avril 1833 quand il obtient, le 26/08/1843, les brevets de libraire et de lithographe en remplacement de son père décédé le 29/05/1843.</p>	
