entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_illustration2_fid;field_illustration2_alt;field_illustration2_title;field_illustration2_width;field_illustration2_height
node;imprimeur_lithographe;0;21547;21547;und;8;543;"";Aben Hamet, opéra de MM Léonce Détroyat & A. Lauziéres. Musique de Théodore Dubois : [affiche], 1890;1024;1426
node;imprimeur_lithographe;0;21547;21547;und;9;544;""; [Cellule auriculaire] : [estampe] / Od R [Odilon Redon], 1893;1023;1150
node;imprimeur_lithographe;0;21552;21552;und;0;1973;"";Papier fantaisie, 1839. A. N.;993;1715
node;imprimeur_lithographe;0;21552;21552;und;1;1974;"";Papier fantaisie, 1839. A.N.;1555;2556
node;imprimeur_lithographe;0;21555;21555;und;0;1971;"";Colonne de Juillet;996;1566
node;imprimeur_lithographe;0;21555;21555;und;1;1972;"";Théâtre Maffey : passage du Saint-Bernard;1481;1054
node;imprimeur_lithographe;0;21556;21556;und;0;311;"";Élixir de foie d'oie : [estampe];1093;1054
node;imprimeur_lithographe;0;21556;21556;und;1;312;"";Perroquets savants dressés et présentés par le nain François Millet ex-écuyer du grand hippodrome, affiche, 1890;1024;1331
node;imprimeur_lithographe;0;21556;21556;und;2;313;""; Nouveau Théâtre 15 rue Blanche. Les Joyeuses commères de Paris de MM. Catulle Mendes et Georges Courteline, affiche, 1895;1024;1432
node;imprimeur_lithographe;0;21556;21556;und;3;314;""; Carte pratique de Vichy et de ses environs, 1880;1090;1054
node;imprimeur_lithographe;0;21556;21556;und;4;315;""; Etats-Unis du grand continent (Europe, Asie, Afrique) : Première alliance des peuples avec la République française, 1884;1024;1357
node;imprimeur_lithographe;0;21556;21556;und;5;331;""; Manufacture de bicycles et tricycles perfectionnés, Clément & Cie;1351;1054
node;imprimeur_lithographe;0;21556;21556;und;6;332;"";Liqueur des Boyards, entrepôt G.! à Rethonvillers (Somme)... dépôt V. Lhomme & Cie, 17 Place de la Madeleine, Paris [modèle 2] : [affiche];1444;1054
node;imprimeur_lithographe;0;21556;21556;und;7;333;"";Compagnie Générale Transatlantique, 6, rue Auber Paris : [affiche];1387;1054
node;imprimeur_lithographe;0;21556;21556;und;8;334;"";Hippodrome de Paris. Tous les jours 2 représentations. La 1re à 3h., la 2me à 8h.1/2. Courses en chars... : [affiche], 1878;1406;1054
node;imprimeur_lithographe;0;21556;21556;und;9;335;"";Lohengrin grand opéra de R. Wagner... : [affiche], 1890;1471;1054
node;imprimeur_lithographe;0;21557;21557;und;0;1996;"";Ateliers nationaux;928;1566
node;imprimeur_lithographe;0;21557;21557;und;1;1997;"";Ateliers nationaux. ordre du jour.;942;1566
node;imprimeur_lithographe;0;21558;21558;und;0;302;"";Salle d'armes de M. Pellenq, 1, rue Laffite, affiche, 1869;1024;1436
node;imprimeur_lithographe;0;21560;21560;und;0;1998;"";Le 30 juillet au Louvre;769;606
node;imprimeur_lithographe;0;21560;21560;und;1;1999;"";Un désespoir;387;609
node;imprimeur_lithographe;0;21560;21560;und;2;2000;"";Les Grisettes;501;748
node;imprimeur_lithographe;0;21560;21560;und;3;2001;"";Vue d'Alger...;1024;1321
node;imprimeur_lithographe;0;21560;21560;und;4;2002;"";Blondin dans le rôle de Bishoff;372;613
node;imprimeur_lithographe;0;21560;21560;und;5;2003;"";Clément dans le rôle de Vertigo;415;633
node;imprimeur_lithographe;0;21560;21560;und;6;2004;"";Il veut m'épouser..;352;530
node;imprimeur_lithographe;0;21560;21560;und;7;2005;"";Cabaleurs;664;648
node;imprimeur_lithographe;0;21560;21560;und;8;2006;"";De la République;1022;1566
node;imprimeur_lithographe;0;21560;21560;und;9;2007;"";La fiancée de Lamermoor;358;551
node;imprimeur_lithographe;0;21560;21560;und;10;2008;"";Galerie théâtrale;360;527
node;imprimeur_lithographe;0;21560;21560;und;11;2009;"";Un paradis;577;558
node;imprimeur_lithographe;0;21560;21560;und;12;2011;"";Plan d'Anvers;801;617
node;imprimeur_lithographe;0;21564;21564;und;0;199;"";Hommage aux vainqueurs;848;1298
node;imprimeur_lithographe;0;21565;21565;und;0;2024;"";Le Médecin malgré lui;439;625
node;imprimeur_lithographe;0;21566;21566;und;0;200;"";La Timbale d'argent;810;1160
node;imprimeur_lithographe;0;21566;21566;und;1;2015;"";La Locomotive, galop brillant;1024;1349
node;imprimeur_lithographe;0;21566;21566;und;2;2016;"";Camille Saint-Saëns. Sérénade.;1024;1371
node;imprimeur_lithographe;0;21566;21566;und;3;2017;"";Les joyeuses commères de Windsor;1308;1054
node;imprimeur_lithographe;0;21566;21566;und;4;2018;"";La Capricieuse, valse;1024;1322
node;imprimeur_lithographe;0;21566;21566;und;5;2019;"";Le roi Carotte;1024;1371
node;imprimeur_lithographe;0;21566;21566;und;6;2020;"";Ah ! quell' scie !;458;690
node;imprimeur_lithographe;0;21566;21566;und;7;2021;"";La Bataillon des dames;446;695
node;imprimeur_lithographe;0;21566;21566;und;8;2022;"";À la foire au pain d'épice;447;704
node;imprimeur_lithographe;0;21566;21566;und;9;2023;"";Friquette, polka-mazurka;1024;1301
node;imprimeur_lithographe;0;21568;21568;und;0;2410;"";Vincenzo Bellini;437;642
node;imprimeur_lithographe;0;21570;21570;und;0;1896;"";La Revue des peintres. Frontispice.;1024;1356
node;imprimeur_lithographe;0;21570;21570;und;1;1897;"";Le voleur de la montagne;1024;1354
node;imprimeur_lithographe;0;21570;21570;und;2;1947;"";27 juillet : première victime;681;549
node;imprimeur_lithographe;0;21570;21570;und;3;1918;"";Charles Plantade;1024;1419
node;imprimeur_lithographe;0;21570;21570;und;4;1898;"";Adolphe Nourrit;1024;1305
node;imprimeur_lithographe;0;21570;21570;und;5;1943;""; Carlotta Grisi;1024;1408
node;imprimeur_lithographe;0;21570;21570;und;6;1952;"";La Caricature provisoire;1024;1363
node;imprimeur_lithographe;0;21570;21570;und;7;1942;"";Les coulisses;1024;1460
node;imprimeur_lithographe;0;21570;21570;und;8;1953;"";Robert Macaire libraire;431;690
node;imprimeur_lithographe;0;21570;21570;und;9;1920;"";Extrait du catalogue des physiologies;1024;1543
node;imprimeur_lithographe;0;21570;21570;und;10;1919;"";Physiologie du flâneur;873;1269
node;imprimeur_lithographe;0;21570;21570;und;11;1921;"";Catalogue de la librairie Aubert, 1842;927;1584
node;imprimeur_lithographe;0;21570;21570;und;12;1922;"";Catalogue de la librairie Aubert, 1842;964;1648
node;imprimeur_lithographe;0;21570;21570;und;13;1944;"";Musée Philipon : La reine du chiffre;1024;1309
node;imprimeur_lithographe;0;21570;21570;und;14;1945;"";Comic Almanack;441;720
node;imprimeur_lithographe;0;21570;21570;und;15;1954;"";Parodie du Juif errant;466;620
node;imprimeur_lithographe;0;21570;21570;und;16;1946;"";Le Peuple a vaincu, ces Messieurs partagent;452;627
node;imprimeur_lithographe;0;21570;21570;und;17;1923;"";Félix Pyat;1024;1458
node;imprimeur_lithographe;0;21570;21570;und;18;1924;"";Panthéon charivarique, Honoré de Balzac;1024;1479
node;imprimeur_lithographe;0;21570;21570;und;19;1955;"";Panthéon Charivarique, Victor Hugo;507;675
node;imprimeur_lithographe;0;21570;21570;und;20;1957;"";Panthéon charivarique, Charles Philipon;1091;947
node;imprimeur_lithographe;0;21570;21570;und;21;1958;"";Ah! petit polisson...;385;594
node;imprimeur_lithographe;0;21570;21570;und;22;2516;"";Abécédaire illustré;442;686
node;imprimeur_lithographe;0;21570;21570;und;23;3080;"";Carte d'électeur de Gabriel Aubert  [A. N.];2661;2017
node;imprimeur_lithographe;0;21570;21570;und;24;4021;"";Nouvel abécédaire illustré par MM. Daumier...;1015;1566
node;imprimeur_lithographe;0;21571;21571;und;0;1925;"";Les fleurs naturelles;378;599
node;imprimeur_lithographe;0;21571;21571;und;1;1926;"";Les travaux d'Hercule par G. Doré;982;614
node;imprimeur_lithographe;0;21571;21571;und;2;1927;"";Cham, Études sociales;441;623
node;imprimeur_lithographe;0;21571;21571;und;3;1931;"";Le Charivari. Ce qu'on appelle les idées nouvelles...;840;592
node;imprimeur_lithographe;0;21571;21571;und;4;1932;"";Éteint !!!;383;541
node;imprimeur_lithographe;0;21571;21571;und;5;1930;"";Barricade de la rue Saint-Martin;681;520
node;imprimeur_lithographe;0;21571;21571;und;6;1933;"";Attaque de la barricade de la porte Saint-Denis;811;612
node;imprimeur_lithographe;0;21571;21571;und;7;1929;"";Un ange déchu;413;603
node;imprimeur_lithographe;0;21571;21571;und;8;1934;"";Ledru banqueteur...;695;617
node;imprimeur_lithographe;0;21571;21571;und;9;1935;"";Le jugement de Pâris;801;613
node;imprimeur_lithographe;0;21571;21571;und;10;1937;"";Les représentants représentés : Schoelcher;407;613
node;imprimeur_lithographe;0;21571;21571;und;11;1938;"";Les représentants représentés : Hugo;472;695
node;imprimeur_lithographe;0;21571;21571;und;12;1941;"";Actualités. Candidature romantico-politique...;735;641
node;imprimeur_lithographe;0;21571;21571;und;13;1939;"";Fête funéraire...;809;609
node;imprimeur_lithographe;0;21571;21571;und;14;1940;"";Bibliothèque pour rire. Le flâneur;1024;1536
node;imprimeur_lithographe;0;21571;21571;und;15;1936;"";Encyclopédie des dames. Prospectus.;1536;997
node;imprimeur_lithographe;0;21571;21571;und;16;2517;"";Les Drôleries alphabétiques;433;693
node;imprimeur_lithographe;0;21571;21571;und;17;4016;"";Le caractère des animaux. Couverture.;975;1566
node;imprimeur_lithographe;0;21572;21572;und;0;2012;"";Avis à MM. les porteurs d'eau;1396;1053
node;imprimeur_lithographe;0;21578;21578;und;0;2013;"";Lettre d'invitation;395;547
node;imprimeur_lithographe;0;21578;21578;und;1;2014;"";Au Peuple;1383;1054
node;imprimeur_lithographe;0;21578;21578;und;2;3431;"";Carte publicitaire  [Coll. particulière];613;345
node;imprimeur_lithographe;0;21586;21586;und;0;2102;"";Le petit Noël. Couverture.;254;363
node;imprimeur_lithographe;0;21587;21587;und;0;2098;"";A. Mabru, fabricant d'encres;1165;1054
node;imprimeur_lithographe;0;21593;21593;und;0;2096;"";Bon pour voie de terre;559;385
node;imprimeur_lithographe;0;21593;21593;und;1;2097;"";Fiche de renseignements;286;438
node;imprimeur_lithographe;0;21598;21598;und;0;3074;"";Exemple d'étiquette anglaise  [A. N. F/18/1730];2242;2038
node;imprimeur_lithographe;0;21601;21601;und;0;2103;"";Carte de la guerre d'Orient;1303;1054
node;imprimeur_lithographe;0;21601;21601;und;1;2105;"";L'Écrin, 1er décembre 1863;291;427
node;imprimeur_lithographe;0;21601;21601;und;2;2106;"";L'Écrin, 15 août 1863;286;423
node;imprimeur_lithographe;0;21602;21602;und;0;2107;"";Société des Moyabambines;299;422
node;imprimeur_lithographe;0;21602;21602;und;1;2108;"";Les conférences du foyer;511;370
node;imprimeur_lithographe;0;21602;21602;und;2;2109;"";L'Union des arts et métiers;260;399
node;imprimeur_lithographe;0;21602;21602;und;3;2110;"";Les damnés de Paris;284;412
node;imprimeur_lithographe;0;21602;21602;und;4;2111;"";Les misères des enfants trouvés;294;430
node;imprimeur_lithographe;0;21602;21602;und;5;2112;"";L'omnibus publie Fleur de Marie;326;422
node;imprimeur_lithographe;0;21602;21602;und;6;2113;"";Histoire nationale illustrée;1024;1362
node;imprimeur_lithographe;0;21602;21602;und;7;2114;"";Éducation et instruction;475;378
node;imprimeur_lithographe;0;21602;21602;und;8;2115;"";Les joyeux conteurs;1024;1411
node;imprimeur_lithographe;0;21602;21602;und;9;2116;"";Les Beaux-Arts illustrés;1024;1381
node;imprimeur_lithographe;0;21602;21602;und;10;2117;"";Plon Plon, un général de cabinet;252;370
node;imprimeur_lithographe;0;21602;21602;und;11;2118;"";Maître Ollivier;251;386
node;imprimeur_lithographe;0;21602;21602;und;12;2119;"";Grand arrivage de laids;472;408
node;imprimeur_lithographe;0;21605;21605;und;0;2094;"";Théâtre de la Petite Provence;1024;1166
node;imprimeur_lithographe;0;21605;21605;und;1;2095;"";Dock du campement;1001;1566
node;imprimeur_lithographe;0;21606;21606;und;0;3661;"";Carte de l'arrondissement de Saint-Calais;1024;1418
node;imprimeur_lithographe;0;21608;21608;und;0;4300;""; Notre Dame de Paris par Victor Hugo. 1876.;436;660
node;imprimeur_lithographe;0;21608;21608;und;1;4301;"";Au Grand Marché parisien. 1875.;485;505
node;imprimeur_lithographe;0;21608;21608;und;2;4302;"";Au Pauvre Diable. 1876;530;538
node;imprimeur_lithographe;0;21608;21608;und;3;4303;"";Schloesing frères . Engrais. 1883.;497;505
node;imprimeur_lithographe;0;21613;21613;und;0;2141;"";Prospectus [A. N.];2126;2800
node;imprimeur_lithographe;0;21617;21617;und;0;2144;"";Victor Considerant;434;635
node;imprimeur_lithographe;0;21617;21617;und;1;2145;"";Félix Pyat;487;643
node;imprimeur_lithographe;0;21617;21617;und;2;2158;"";Cortège funèbre de Mgr le duc d'Orléans;1237;1054
node;imprimeur_lithographe;0;21617;21617;und;3;2159;"";La duchesse de Téba. Impératrice des Français;1024;1511
node;imprimeur_lithographe;0;21618;21618;und;0;2135;"";La Bourse;512;751
node;imprimeur_lithographe;0;21618;21618;und;1;2136;"";Au bord de l'eau. Couverture de Bertauts.;1338;1054
node;imprimeur_lithographe;0;21618;21618;und;2;2137;"";Lucia-Walzer;1311;1054
node;imprimeur_lithographe;0;21618;21618;und;3;2138;"";Bersaglieri-polka;1334;1054
node;imprimeur_lithographe;0;21618;21618;und;4;2139;"";Zina, valse pour piano;1318;1054
node;imprimeur_lithographe;0;21618;21618;und;5;2140;"";Adieux de Titi aux Barrières;570;685
node;imprimeur_lithographe;0;21619;21619;und;0;2134;"";Le rénégat;435;616
node;imprimeur_lithographe;0;21623;21623;und;0;766;"";Eugénie, impératrice des Français. Lafosse lith. 1864.;1024;1533
node;imprimeur_lithographe;0;21623;21623;und;1;767;"";Strasbourg, façade de la cathédrale. Deroy lith.1865.;654;1155
node;imprimeur_lithographe;0;21623;21623;und;2;768;"";Il Trovatore. Thomas lith. 1866.;1328;1054
node;imprimeur_lithographe;0;21624;21624;und;0;2223;"";École de dessin;1373;1054
node;imprimeur_lithographe;0;21624;21624;und;1;2224;"";Jeune et intéressante personne...;798;607
node;imprimeur_lithographe;0;21624;21624;und;2;2225;"";Lamartine, représentant du Peuple;462;604
node;imprimeur_lithographe;0;21624;21624;und;3;2226;"";Exil et prison;427;623
node;imprimeur_lithographe;0;21624;21624;und;4;3027;"";Le Peuple aux Tuileries;377;558
node;imprimeur_lithographe;0;21624;21624;und;5;3026;"";Mandat à Louis-Napoléon Bonaparte;401;595
node;imprimeur_lithographe;0;21624;21624;und;6;2227;"";Louis Napoléon Bonaparte;467;627
node;imprimeur_lithographe;0;21624;21624;und;7;2229;"";Le Prince Louis-Napoléon Bonaparte;470;606
node;imprimeur_lithographe;0;21624;21624;und;8;3025;"";L'Empereur et l'Impératrice;375;548
node;imprimeur_lithographe;0;21624;21624;und;9;3029;"";La famille impériale;481;597
node;imprimeur_lithographe;0;21624;21624;und;10;3024;"";Un homme de la Réserve;424;586
node;imprimeur_lithographe;0;21624;21624;und;11;3028;"";Prise de Kil-Bouroun;794;605
node;imprimeur_lithographe;0;21624;21624;und;12;3023;"";Folies-Asnières;812;540
node;imprimeur_lithographe;0;21625;21625;und;0;1854;"";Phaëton emporté dans l'amas de ces noirs tourbillons...;2303;1968
node;imprimeur_lithographe;0;21625;21625;und;1;2160;"";Abécédaire;431;622
node;imprimeur_lithographe;0;21625;21625;und;2;2161;"";Mariage du duc d'Orléans;751;595
node;imprimeur_lithographe;0;21625;21625;und;3;2162;"";La Caricature : Amnistie pleine et entière...;808;615
node;imprimeur_lithographe;0;21625;21625;und;4;2163;"";L'Humanité comique. L'atelier;421;603
node;imprimeur_lithographe;0;21625;21625;und;5;2165;"";Quel saut !   Quels sots !!!;528;659
node;imprimeur_lithographe;0;21625;21625;und;6;2167;"";Ecce Homo !;663;564
node;imprimeur_lithographe;0;21625;21625;und;7;2168;"";La Caricature. L'étalagiste;426;597
node;imprimeur_lithographe;0;21625;21625;und;8;2169;"";Les faux dieux de l'Olympe;868;601
node;imprimeur_lithographe;0;21625;21625;und;9;2170;"";Digestion du budget;873;622
node;imprimeur_lithographe;0;21625;21625;und;10;2171;"";Le Charenton ministériel;974;570
node;imprimeur_lithographe;0;21625;21625;und;11;2172;"";Hydre de l'Anarchie;788;588
node;imprimeur_lithographe;0;21625;21625;und;12;2173;"";Obélisque élevé à la gloire d'une révolution......;442;639
node;imprimeur_lithographe;0;21625;21625;und;13;2174;"";Réception au Palais des poires;592;577
node;imprimeur_lithographe;0;21625;21625;und;14;2175;"";Projet de monument expia-poire à élever...;760;609
node;imprimeur_lithographe;0;21625;21625;und;15;2176;"";La Corde du pendu. Costumes...;424;638
node;imprimeur_lithographe;0;21625;21625;und;16;2177;"";Les blanchisseurs;824;614
node;imprimeur_lithographe;0;21625;21625;und;17;3030;"";Tapir d'Amérique;1014;624
node;imprimeur_lithographe;0;21626;21626;und;0;2180;"";Napoléon III difensore dell'independenza italiana;502;666
node;imprimeur_lithographe;0;21626;21626;und;1;2181;"";Congrès de Paris, 1856.;752;645
node;imprimeur_lithographe;0;21626;21626;und;2;2182;"";L'Italia a suoi Liberatori;905;628
node;imprimeur_lithographe;0;21857;21857;und;0;2194;"";La France couronnant les Arts et l'Industrie;508;656
node;imprimeur_lithographe;0;21858;21858;und;0;1874;"";Sitelle syriaque;1446;1054
node;imprimeur_lithographe;0;21858;21858;und;1;1875;"";Jeune métis de lion et de tigresse;1536;978
node;imprimeur_lithographe;0;21858;21858;und;2;2195;"";L'Ange gardien;934;649
node;imprimeur_lithographe;0;21858;21858;und;3;2196;"";Don Juan de Marana;442;671
node;imprimeur_lithographe;0;21858;21858;und;4;2197;"";La Comtesse du Tonneau;934;670
node;imprimeur_lithographe;0;21858;21858;und;5;2198;"";La Malibran dans le rôle de Desdémone;415;557
node;imprimeur_lithographe;0;21858;21858;und;6;2199;"";Gilbert-Louis Duprez;395;620
node;imprimeur_lithographe;0;21858;21858;und;7;2200;"";Les sept infans de Lara;1024;1381
node;imprimeur_lithographe;0;21859;21859;und;0;2210;"";Prospectus de l'imprimerie Dessaigne, Bellavoine Van Campenhout Succ.;3207;2103
node;imprimeur_lithographe;0;21866;21866;und;0;263;"";Alexandre-Joseph Montagney;512;698
node;imprimeur_lithographe;0;21866;21866;und;1;2201;"";A. Enfantin;475;656
node;imprimeur_lithographe;0;21866;21866;und;2;2202;"";Melle Dorus dans le rôle de Thérésine;378;499
node;imprimeur_lithographe;0;21866;21866;und;3;2203;"";La Tentation;665;600
node;imprimeur_lithographe;0;21866;21866;und;4;2204;"";Jacques Gérard;400;627
node;imprimeur_lithographe;0;21866;21866;und;5;2205;"";Les Huguenots;799;627
node;imprimeur_lithographe;0;21866;21866;und;6;2206;"";Rosine Stoltz;388;605
node;imprimeur_lithographe;0;21866;21866;und;7;4190;"";Carte professionnelle [Coll. particulière];599;388
node;imprimeur_lithographe;0;21868;21868;und;0;2214;"";Nouveau plan de Paris;1269;1054
node;imprimeur_lithographe;0;21868;21868;und;1;2215;"";L'Europe par Bauerkeller;1205;1054
node;imprimeur_lithographe;0;21872;21872;und;0;2156;"";Mademoiselle Djeck;1365;1054
node;imprimeur_lithographe;0;21872;21872;und;1;2157;"";Serment des Ultras;1374;1054
node;imprimeur_lithographe;0;21872;21872;und;2;2439;"";Carrière amoureuse;465;651
node;imprimeur_lithographe;0;21872;21872;und;3;2440;"";Beranger. Le sénateur;671;610
node;imprimeur_lithographe;0;21872;21872;und;4;2442;"";Paris vivant. L'attente d'un diner.;535;572
node;imprimeur_lithographe;0;21872;21872;und;5;2443;"";Paris vivant. Un bon mari.;629;575
node;imprimeur_lithographe;0;21872;21872;und;6;2444;"";Paris vivant. L'espoir de la famille.;520;552
node;imprimeur_lithographe;0;21872;21872;und;7;2445;"";Récréations. Une première entrevue.;612;508
node;imprimeur_lithographe;0;21872;21872;und;8;2446;"";Il ne fallait donc pas se moucher dedans !;889;697
node;imprimeur_lithographe;0;21872;21872;und;9;2447;"";Récréations.;798;638
node;imprimeur_lithographe;0;21872;21872;und;10;2448;"";"Grisettes. Finissez ! C'est des bêtises;";312;496
node;imprimeur_lithographe;0;21872;21872;und;11;2449;"";Béranger. La bouquetière et le croque-mort;624;590
node;imprimeur_lithographe;0;21872;21872;und;12;2450;"";Chansons de Beranger;918;695
node;imprimeur_lithographe;0;21878;21878;und;0;2231;"";Carte de France physique et routière;868;658
node;imprimeur_lithographe;0;21878;21878;und;1;2232;"";Le guide de Paris monumental;1285;1054
node;imprimeur_lithographe;0;21878;21878;und;2;2233;"";Nouveau plan complet illustré de Paris;1373;1054
node;imprimeur_lithographe;0;21878;21878;und;3;2234;"";France nouvelle en 86 départements;1536;1049
node;imprimeur_lithographe;0;21878;21878;und;4;2235;"";Carte pittoresque des environs de Paris;1486;1054
node;imprimeur_lithographe;0;21878;21878;und;5;2236;"";L'itinéraire des chemins de fer;1443;1054
node;imprimeur_lithographe;0;21882;21882;und;0;2237;"";Hélène de Mecklembourg Schwerin;484;668
node;imprimeur_lithographe;0;21884;21884;und;0;2272;"";Vue prise aux environs de Subiaco;507;443
node;imprimeur_lithographe;0;21884;21884;und;1;2273;"";Vue de la ville de Strasbourg;1536;1031
node;imprimeur_lithographe;0;21884;21884;und;2;2274;"";Mme Malibran;248;379
node;imprimeur_lithographe;0;21884;21884;und;3;2275;"";Intérieur de l'église Saint-Pierre et Saint-Paul;706;1224
node;imprimeur_lithographe;0;21884;21884;und;4;2276;"";Chapelle de Neubourg;672;1185
node;imprimeur_lithographe;0;21884;21884;und;5;2277;"";Vue de Saint-Gilles;1389;1054
node;imprimeur_lithographe;0;21884;21884;und;6;2278;"";Château du Hohbarr;1294;1054
node;imprimeur_lithographe;0;21884;21884;und;7;2279;"";Monument élevé à Neuilly...;434;371
node;imprimeur_lithographe;0;21884;21884;und;8;2282;"";Madame Boulanger;1024;1358
node;imprimeur_lithographe;0;21884;21884;und;9;2284;"";Itinéraire pittoresque du fleuve Hudson;1017;1566
node;imprimeur_lithographe;0;21884;21884;und;10;2291;"";Fonderie sur la rivière Jone's;212;323
node;imprimeur_lithographe;0;21884;21884;und;11;2294;"";Ruines du château de Cusset;308;235
node;imprimeur_lithographe;0;21884;21884;und;12;2295;"";27 juillet 1830. Saisie des presses du National;499;400
node;imprimeur_lithographe;0;21884;21884;und;13;2296;"";28 juillet 1830. Combat des Boulevards;493;378
node;imprimeur_lithographe;0;21884;21884;und;14;2297;"";4 août 1830. Entrée du duc de Chartres dans Paris.;508;384
node;imprimeur_lithographe;0;21885;21885;und;0;3445;"";Carte publicitaire [Coll. particulière];544;346
node;imprimeur_lithographe;0;21885;21885;und;1;3450;"";Carte publicitaire  [Coll. particulière];1649;992
node;imprimeur_lithographe;0;21886;21886;und;0;3218;"";Nouvelle calligraphie universelle;2063;3151
node;imprimeur_lithographe;0;21886;21886;und;1;3219;"";Nouvelle sténographie universelle;3085;2428
node;imprimeur_lithographe;0;21886;21886;und;2;3220;"";Nouvelle sténographie universelle;2781;2199
node;imprimeur_lithographe;0;21889;21889;und;0;2993;"";Projet de pont;646;380
node;imprimeur_lithographe;0;21889;21889;und;1;4196;"";Carte publicitaire  [Coll. particulière];1202;942
node;imprimeur_lithographe;0;21889;21889;und;2;4263;"";Naissance d'Erichtonius [New York Public Library];760;502
node;imprimeur_lithographe;0;21893;21893;und;0;2242;"";L'Aigle de Sainte-Hélène;492;656
node;imprimeur_lithographe;0;21893;21893;und;1;2243;"";Les Vauriens du Pont-Neuf;402;657
node;imprimeur_lithographe;0;21893;21893;und;2;2244;"";Le Tour du monde tintamarresque;509;665
node;imprimeur_lithographe;0;21896;21896;und;0;879;"";Jeu de cartes musical breveté : approuvé par M. H. Berton [...] pour apprendre la musique aux enfants en jouant à la Bataille, 1840;1505;1054
node;imprimeur_lithographe;0;21896;21896;und;1;881;"";Jeu de cartes arithmétique : pour apprendre les chiffres // faire une addition // et une soustraction // à un enfant de 5 ans // en 5 minutes;1024;1549
node;imprimeur_lithographe;0;21896;21896;und;2;882;"";Jeu de cartes abécédaire - pour apprendre à lire aux enfants, 1840;1024;1534
node;imprimeur_lithographe;0;21896;21896;und;3;883;"";Jeu de cartes musical;1024;1559
node;imprimeur_lithographe;0;21896;21896;und;4;2268;"";Cantique de Saint-Sulpice;389;634
node;imprimeur_lithographe;0;21896;21896;und;5;2269;"";Portrait du magnifique chien...;887;639
node;imprimeur_lithographe;0;21896;21896;und;6;3683;"";En-tête de facture, avant 1857. [Coll.particulière];4575;2108
node;imprimeur_lithographe;0;21899;21899;und;0;1273;"";Papier d'Arménie. A. Van Geleyn ill. ;1024;1509
node;imprimeur_lithographe;0;21899;21899;und;1;1274;"";Machine à coudre Peugeot. 1878.;1024;1432
node;imprimeur_lithographe;0;21899;21899;und;2;1275;"";Papier Persan. E. Ancourt ill. 1881.;1024;1513
