entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_informations_personnelles_value;field_informations_personnelles_format
node;imprimeur_lithographe;0;7889;7889;und;0;Son père était marchand chapelier;plain_text
node;imprimeur_lithographe;0;7890;7890;und;0;Son père est commisssaire de police.;plain_text
node;imprimeur_lithographe;0;7891;7891;und;0;Son père est vannier.;plain_text
node;imprimeur_lithographe;0;7892;7892;und;0;Son père était cordonnier;plain_text
node;imprimeur_lithographe;0;7893;7893;und;0;Son père est médecin;plain_text
node;imprimeur_lithographe;0;7894;7894;und;0;Son père était préposé du payeur général;plain_text
node;imprimeur_lithographe;0;7895;7895;und;0;'C''est un enfant trouvé';plain_text
node;imprimeur_lithographe;0;7896;7896;und;0;Sa femme est couturière;plain_text
node;imprimeur_lithographe;0;7897;7897;und;0;'Il habite avec sa mère employée du théâtre St Martin, elle est pensionné e comme bléssée dans l''insurrection de juin';plain_text
node;imprimeur_lithographe;0;7898;7898;und;0;Son père est directeur divisionnaire des postes militaires;plain_text
node;imprimeur_lithographe;0;7900;7900;und;0;Son père est marchand tanneur;plain_text
node;imprimeur_lithographe;0;7901;7901;und;0;Son père est lieutenant de la 6e compagnie de bataillon / Il est célibataire;plain_text
node;imprimeur_lithographe;0;7902;7902;und;0;'Elle est célibataire. C''est la soeur de Kaeppelin, Eugène, Florent';plain_text
node;imprimeur_lithographe;0;7903;7903;und;0;Son père est cabaretier;plain_text
node;imprimeur_lithographe;0;7906;7906;und;0;Son père est maître tonnelier des Tuileries;plain_text
node;imprimeur_lithographe;0;7908;7908;und;0;Son père est boulanger;plain_text
node;imprimeur_lithographe;0;7909;7909;und;0;'Son père est commis à cheval dans l''administration des droits réunis / Il est père de 5 enfants';plain_text
node;imprimeur_lithographe;0;7911;7911;und;0;Son père est imprimeur et son mari horloger;plain_text
node;imprimeur_lithographe;0;7912;7912;und;0;Il habite avec sa mère / Son père est manufacturier de papiers peints;plain_text
node;imprimeur_lithographe;0;7913;7913;und;0;Son père est cultivateur;plain_text
node;imprimeur_lithographe;0;7914;7914;und;0;Son père est propriétaire;plain_text
node;imprimeur_lithographe;0;7915;7915;und;0;Son père est maître perruquier;plain_text
node;imprimeur_lithographe;0;7917;7917;und;0;Son père est boulanger;plain_text
node;imprimeur_lithographe;0;7918;7918;und;0;Son père est domestique;plain_text
node;imprimeur_lithographe;0;7920;7920;und;0;Son père est percepteur de contributions;plain_text
node;imprimeur_lithographe;0;7921;7921;und;0;Il vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalier;plain_text
node;imprimeur_lithographe;0;10078;10078;und;0;Son père est garçon papetier;plain_text
node;imprimeur_lithographe;0;10079;10079;und;0;Il est marié et père de 3 enfants;plain_text
node;imprimeur_lithographe;0;10080;10080;und;0;Il est marié et père de 4 enfants. / Il est condamné en 1846 à 15 jours d'emprisonnement pour outrage à la pudeur sur une jeune fille à Bayeux. / Son père était Menuisier.;plain_text
node;imprimeur_lithographe;0;10081;10081;und;0;Son père était employé des contributions indirectes. Il est marié.;plain_text
node;imprimeur_lithographe;0;10084;10084;und;0;Son père était tailleur d'habit. Il est marié et père de famille. Sa femme travaille chez Dame Gosselin, éditeur géographe. ;plain_text
node;imprimeur_lithographe;0;10085;10085;und;0;Son père était greffier de la justice de paix.;plain_text
node;imprimeur_lithographe;0;10086;10086;und;0;Il est marié.;plain_text
node;imprimeur_lithographe;0;10090;10090;und;0;Son père était bottier. Il est célibataire au moment de sa demande de brevet.;plain_text
node;imprimeur_lithographe;0;10091;10091;und;0;Son père était charpentier.;plain_text
node;imprimeur_lithographe;0;10092;10092;und;0;Son père était également lithographe. Il est marié avec un enfant. ;plain_text
node;imprimeur_lithographe;0;10093;10093;und;0;Célibataire / Son père est employé des postes et receveur à la Loterie Nationale. / Il est célibataire.Célibataire / Son père est employé des postes et receveur à la Loterie Nationale. / Il est célibataire.;plain_text
node;imprimeur_lithographe;0;10095;10095;und;0;Son père était boucher. Il est célibataire.;plain_text
node;imprimeur_lithographe;0;10097;10097;und;0;Sa mère était ouvrière lingère. Il est marié avec un enfant.;plain_text
node;imprimeur_lithographe;0;10100;10100;und;0;Son père est lithographe.;plain_text
node;imprimeur_lithographe;0;10101;10101;und;0;Son père est vérificateur d'Octroy;plain_text
node;imprimeur_lithographe;0;10102;10102;und;0;Il marié et père de 4 enfants / Il a été condamné en 1850 à 6 mois de prison pour port illicite de décoration et en 1852 à 4 mois de prison pour dettes.Il marié et père de 4 enfants / Il a été condamné en 1850 à 6 mois de prison pour port illicite de décoration et en 1852 à 4 mois de prison pour dettes.;plain_text
node;imprimeur_lithographe;0;10108;10108;und;0;Son père était marchand de vin. / Son père était marchand de vin.;plain_text
node;imprimeur_lithographe;0;10110;10110;und;0;Son père était marchand chapelier;plain_text
node;imprimeur_lithographe;0;10111;10111;und;0;Son père est commisssaire de police.;plain_text
node;imprimeur_lithographe;0;10112;10112;und;0;Son père est vannier.;plain_text
node;imprimeur_lithographe;0;10113;10113;und;0;Son père était cordonnier;plain_text
node;imprimeur_lithographe;0;10114;10114;und;0;Son père est médecin;plain_text
node;imprimeur_lithographe;0;10115;10115;und;0;Son père était préposé du payeur général;plain_text
node;imprimeur_lithographe;0;10116;10116;und;0;C'est un enfant trouvé;plain_text
node;imprimeur_lithographe;0;10117;10117;und;0;Sa femme est couturière;plain_text
node;imprimeur_lithographe;0;10118;10118;und;0;Il habite avec sa mère employée du théâtre St Martin, elle est pensionné e comme bléssée dans l'insurrection de juin;plain_text
node;imprimeur_lithographe;0;10119;10119;und;0;Son père est directeur divisionnaire des postes militaires;plain_text
node;imprimeur_lithographe;0;10121;10121;und;0;Son père est marchand tanneur;plain_text
node;imprimeur_lithographe;0;10122;10122;und;0;Son père est lieutenant de la 6e compagnie de bataillon / Il est célibataire;plain_text
node;imprimeur_lithographe;0;10123;10123;und;0;Elle est célibataire. C'est la soeur de Kaeppelin, Eugène, Florent;plain_text
node;imprimeur_lithographe;0;10124;10124;und;0;Son père est cabaretier;plain_text
node;imprimeur_lithographe;0;10127;10127;und;0;Son père est maître tonnelier des Tuileries;plain_text
node;imprimeur_lithographe;0;10129;10129;und;0;Son père est boulanger;plain_text
node;imprimeur_lithographe;0;10130;10130;und;0;Son père est commis à cheval dans l'administration des droits réunis / Il est père de 5 enfants;plain_text
node;imprimeur_lithographe;0;10132;10132;und;0;Son père est imprimeur et son mari horloger;plain_text
node;imprimeur_lithographe;0;10133;10133;und;0;Il habite avec sa mère / Son père est manufacturier de papiers peints;plain_text
node;imprimeur_lithographe;0;10134;10134;und;0;Son père est cultivateur;plain_text
node;imprimeur_lithographe;0;10135;10135;und;0;Son père est propriétaire;plain_text
node;imprimeur_lithographe;0;10136;10136;und;0;Son père est maître perruquier;plain_text
node;imprimeur_lithographe;0;10138;10138;und;0;Son père est boulanger;plain_text
node;imprimeur_lithographe;0;10139;10139;und;0;Son père est domestique;plain_text
node;imprimeur_lithographe;0;10141;10141;und;0;Son père est percepteur de contributions;plain_text
node;imprimeur_lithographe;0;10142;10142;und;0;Il vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalierIl vit avec sa mère qui est loueuse de chaises à St Nicolas du Chardonnet / Son père est journalier;plain_text
node;imprimeur_lithographe;0;10143;10143;und;0;Son père est employé au Ministère des finances;plain_text
node;imprimeur_lithographe;0;10144;10144;und;0;Il est marié père de 6 enfants;plain_text
node;imprimeur_lithographe;0;10145;10145;und;0;Il est marié père de 3 enfants;plain_text
node;imprimeur_lithographe;0;10146;10146;und;0;Il est marié père de 3 enfants;plain_text
node;imprimeur_lithographe;0;10147;10147;und;0;Son père est employé des contributions indirectes;plain_text
node;imprimeur_lithographe;0;10148;10148;und;0;Son père est lithographe / Il est marié avec 3 enfantsSon père est lithographe / Il est marié avec 3 enfantsSon père est lithographe / Il est marié avec 3 enfantsSon père est lithographe / Il est marié avec 3 enfantsSon père est lithographe / Il est marié avec 3 enfantsSon père est lithographe / Il est marié avec 3 enfantsSon père est lithographe / Il est marié avec 3 enfants;plain_text
node;imprimeur_lithographe;0;10149;10149;und;0;Il est marié et père de 4 enfants;plain_text
node;imprimeur_lithographe;0;10150;10150;und;0;Son père est journalier et sa femme cuisinière;plain_text
node;imprimeur_lithographe;0;10151;10151;und;0;Il est célibataire;plain_text
node;imprimeur_lithographe;0;10152;10152;und;0;Il est marié et père d'un enfant. Quand il fait la demande du brevet, il habite avec sa mère et ses deux frères, rue Saint Lazare n°10 et paie 400 francs de loyer. ;plain_text
node;imprimeur_lithographe;0;10154;10154;und;0;Il est marié et père de 5 enfants;plain_text
node;imprimeur_lithographe;0;10155;10155;und;0;Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851Son père est mercier / En juin 1848 il est un des premiers à endosser l'habit de garde national et il prit son fusil contre l'insurrection du 2 décembre 1851;plain_text
node;imprimeur_lithographe;0;10156;10156;und;0;Son père était charron.;plain_text
node;imprimeur_lithographe;0;10157;10157;und;0;Son père est négociant;plain_text
node;imprimeur_lithographe;0;10158;10158;und;0;Son père est journalier;plain_text
node;imprimeur_lithographe;0;10159;10159;und;0;Son père est bonnetier;plain_text
node;imprimeur_lithographe;0;10162;10162;und;0;Son père est tonnelier / Il est veuf avec 2 enfantsSon père est tonnelier / Il est veuf avec 2 enfantsSon père est tonnelier / Il est veuf avec 2 enfantsSon père est tonnelier / Il est veuf avec 2 enfantsSon père est tonnelier / Il est veuf avec 2 enfantsSon père est tonnelier / Il est veuf avec 2 enfants;plain_text
node;imprimeur_lithographe;0;10164;10164;und;0;Son père est tailleur, il est marié avec 3 enfants;plain_text
node;imprimeur_lithographe;0;10165;10165;und;0;Son père est cabaretier;plain_text
node;imprimeur_lithographe;0;10166;10166;und;0;Son père est fermier cultivateur;plain_text
node;imprimeur_lithographe;0;10167;10167;und;0;Son père est médecin;plain_text
node;imprimeur_lithographe;0;10169;10169;und;0;Son père est laboureur;plain_text
node;imprimeur_lithographe;0;10170;10170;und;0;Son père est portillon;plain_text
node;imprimeur_lithographe;0;10172;10172;und;0;Il habite avec sa mère et sa sœur qu'il soutient / Son père était marchand chapelierIl habite avec sa mère et sa sœur qu'il soutient / Son père était marchand chapelierIl habite avec sa mère et sa sœur qu'il soutient / Son père était marchand chapelierIl habite avec sa mère et sa sœur qu'il soutient / Son père était marchand chapelierIl habite avec sa mère et sa sœur qu'il soutient / Son père était marchand chapelierIl habite avec sa mère et sa sœur qu'il soutient / Son père était marchand chapelier;plain_text
node;imprimeur_lithographe;0;10173;10173;und;0;Son père est boucher / Il est marié et père de 6 enfantsSon père est boucher / Il est marié et père de 6 enfantsSon père est boucher / Il est marié et père de 6 enfantsSon père est boucher / Il est marié et père de 6 enfantsSon père est boucher / Il est marié et père de 6 enfants;plain_text
node;imprimeur_lithographe;0;10174;10174;und;0;Son père est capitaine d'infanterie;plain_text
node;imprimeur_lithographe;0;10175;10175;und;0;Son père est domestique;plain_text
node;imprimeur_lithographe;0;10176;10176;und;0;Son père est cloutier;plain_text
node;imprimeur_lithographe;0;10179;10179;und;0;Il vit maritalement avec une fleuriste;plain_text
node;imprimeur_lithographe;0;10180;10180;und;0;Son père est artiste dramatique;plain_text
node;imprimeur_lithographe;0;10181;10181;und;0;Son père est militaire pensionné;plain_text
node;imprimeur_lithographe;0;10185;10185;und;0;Son père est cultivateur / Il habite chez sa mèreSon père est cultivateur / Il habite chez sa mèreSon père est cultivateur / Il habite chez sa mèreSon père est cultivateur / Il habite chez sa mèreSon père est cultivateur / Il habite chez sa mère;plain_text
node;imprimeur_lithographe;0;10186;10186;und;0;Son père est tonnelier et marchand épicier;plain_text
node;imprimeur_lithographe;0;10187;10187;und;0;Son père est officier public;plain_text
node;imprimeur_lithographe;0;10190;10190;und;0;Il est marié et père de 4 enfants;plain_text
node;imprimeur_lithographe;0;10192;10192;und;0;Son père est confiseur;plain_text
node;imprimeur_lithographe;0;10194;10194;und;0;Son père est journalier et son mari employé à la Caisse des dépôts et consignations;plain_text
node;imprimeur_lithographe;0;10195;10195;und;0;Son père est menuisier;plain_text
node;imprimeur_lithographe;0;10200;10200;und;0;Son père est cultivateur;plain_text
node;imprimeur_lithographe;0;10201;10201;und;0;Son père est cultivateur. Il élève lui-même 5 enfants.;plain_text
node;imprimeur_lithographe;0;10204;10204;und;0;Son père est marchand;plain_text
node;imprimeur_lithographe;0;10205;10205;und;0;Son père est caissier de la recette générale d'Ille et Vilaine;plain_text
node;imprimeur_lithographe;0;10206;10206;und;0;Son père est marchand boucher;plain_text
node;imprimeur_lithographe;0;10208;10208;und;0;Son père est marchand;plain_text
node;imprimeur_lithographe;0;10215;10215;und;0;Sa femme tient un commerce de vins;plain_text
node;imprimeur_lithographe;0;10216;10216;und;0;Son père est receveur de loterie;plain_text
node;imprimeur_lithographe;0;10218;10218;und;0;Son père est instituteur;plain_text
node;imprimeur_lithographe;0;10219;10219;und;0;Son père est manouvrier.;plain_text
node;imprimeur_lithographe;0;10222;10222;und;0;Il est marié et père de 2 enfants / Il a été condamné en 1848 et transporté à Brest sur décision de la commission militaire pour participation à l'insurrection. Il a passé 11 mois sur les pontonsIl est marié et père de 2 enfants / Il a été condamné en 1848 et transporté à Brest sur décision de la commission militaire pour participation à l'insurrection. Il a passé 11 mois sur les pontons;plain_text
node;imprimeur_lithographe;0;10224;10224;und;0;Il est marié père de 3 enfants;plain_text
node;imprimeur_lithographe;0;10228;10228;und;0;Son père était maçon;plain_text
node;imprimeur_lithographe;0;10229;10229;und;0;Son père était blanchisseur;plain_text
node;imprimeur_lithographe;0;10232;10232;und;0;Son père était cultivateur.;plain_text
node;imprimeur_lithographe;0;10233;10233;und;0;Marié, 2 enfants, il est secondé par un de ses fils qui travaille avec lui. En 1842, il est sur le point de se séparer de sa femme. Celle-ci a une fabrique de chapeaux de paille, et leur logement 9 rue Chabannais est loué au nom de Madame Lender. ;plain_text
node;imprimeur_lithographe;0;10234;10234;und;0;Son père est marchand papetier.;plain_text
node;imprimeur_lithographe;0;10235;10235;und;0;Son père est commerçant. Il vit en concubinage avec une couturière.;plain_text
node;imprimeur_lithographe;0;10236;10236;und;0;Son père est domestique.;plain_text
node;imprimeur_lithographe;0;10237;10237;und;0;Il vit avec sa mère restée veuve;plain_text
node;imprimeur_lithographe;0;10239;10239;und;0;Son père est propriétaire. Il est marié sans enfants et a  longtemps vécu séparé de sa femme qui vivait avec un vieillard. C'est avec l'argent de ce  vieillard qu'il a acheté son imprimerie.;plain_text
node;imprimeur_lithographe;0;10243;10243;und;0;Il est né le 19 juin 1802 à Paris, son père était propriétaire;plain_text
node;imprimeur_lithographe;0;10246;10246;und;0;Son père est médecin.;plain_text
node;imprimeur_lithographe;0;10247;10247;und;0;Veuf avec 1 enfant / Son père est garde de propriété;plain_text
node;imprimeur_lithographe;0;10248;10248;und;0;Elle est veuve avec 2 enfants.;plain_text
node;imprimeur_lithographe;0;10249;10249;und;0;Son père était Badestermier.;plain_text
node;imprimeur_lithographe;0;10250;10250;und;0;Il habite seul dans un cabinet à 80 frs/ an et y a installé son atelier / Son père vivait de ses biens;plain_text
node;imprimeur_lithographe;0;10253;10253;und;0;Elle est veuve avec 2 enfants.  / Son père était gendarme national.;plain_text
node;imprimeur_lithographe;0;10255;10255;und;0;Son père était fileur de laine;plain_text
node;imprimeur_lithographe;0;10256;10256;und;0;Elle est veuve avec 1 enfant.;plain_text
node;imprimeur_lithographe;0;10260;10260;und;0;Son père était tailleur;plain_text
node;imprimeur_lithographe;0;10264;10264;und;0;C'est le frère du Sieur Letronne, membre de l'Institut et directeur de la Bibliothèque royale.;plain_text
node;imprimeur_lithographe;0;10265;10265;und;0;Son père était domestique / Il est marié avec 4 enfants;plain_text
node;imprimeur_lithographe;0;10269;10269;und;0;Son père était colporteur;plain_text
node;imprimeur_lithographe;0;10270;10270;und;0;Son père était boucher;plain_text
node;imprimeur_lithographe;0;10271;10271;und;0;Son père était propriétaire;plain_text
node;imprimeur_lithographe;0;10272;10272;und;0;Son père était militaire;plain_text
node;imprimeur_lithographe;0;10273;10273;und;0;Son père était cultivateur;plain_text
node;imprimeur_lithographe;0;10274;10274;und;0;Son père était tisseur;plain_text
node;imprimeur_lithographe;0;10275;10275;und;0;Il est marié et père de famille. ;plain_text
node;imprimeur_lithographe;0;10276;10276;und;0;Il est marié et père d'un garçon. C'est le frère de Jean-Marie Ligny. Il vit avec son beau-père M. Doublet, rue des anglaises.;plain_text
node;imprimeur_lithographe;0;10279;10279;und;0;Son père était fondeur en cuivre;plain_text
node;imprimeur_lithographe;0;10280;10280;und;0;Il est fils d'étranger et se fait naturaliser en 1848.  Son père est tailleur. Il est père de trois enfants et veuf quand il demande son brevet. Il est atteint d'une maladie du coeur et veut donc aller vivre en campagne. ;plain_text
node;imprimeur_lithographe;0;10281;10281;und;0;Son père était marchand faiencier;plain_text
node;imprimeur_lithographe;0;10282;10282;und;0;Son père était cordonnier;plain_text
node;imprimeur_lithographe;0;10284;10284;und;0;Il est marié et a un seul garçon. Son père est marchand ;plain_text
node;imprimeur_lithographe;0;10285;10285;und;0;Il est célibataire ;plain_text
node;imprimeur_lithographe;0;10286;10286;und;0;Son père est peintre;plain_text
node;imprimeur_lithographe;0;10287;10287;und;0;Son père est maçon;plain_text
node;imprimeur_lithographe;0;10288;10288;und;0;Son père est filateur / Il a été arrêté en 1849 pour des causes politiques;plain_text
node;imprimeur_lithographe;0;10289;10289;und;0;Son père est charron;plain_text
node;imprimeur_lithographe;0;10290;10290;und;0;Son père est agent d'affaires - notaire / Il habite chez ses parents;plain_text
node;imprimeur_lithographe;0;10291;10291;und;0;Son père est huissier-audencier;plain_text
node;imprimeur_lithographe;0;10292;10292;und;0;Il a abandonné sa femme et vit avec une autre dont il a 1 enfant / Il était lieutenant dans la Ve légion et a été blessé par une pierre à la mairie lors des journées de 1848.;plain_text
node;imprimeur_lithographe;0;10296;10296;und;0;Son père est imprimeur en taille-douce;plain_text
node;imprimeur_lithographe;0;10297;10297;und;0;Son père est employé de la trésorerie / Elle est veuve avec 5 enfants;plain_text
node;imprimeur_lithographe;0;10298;10298;und;0;Il est le fils naturel d'une couturière;plain_text
node;imprimeur_lithographe;0;10299;10299;und;0;Il loge chez son père;plain_text
node;imprimeur_lithographe;0;10306;10306;und;0;Il vit avec sa mère;plain_text
node;imprimeur_lithographe;0;10307;10307;und;0;Son père est épicier;plain_text
node;imprimeur_lithographe;0;10309;10309;und;0;Il est marié et père de 3 enfants;plain_text
node;imprimeur_lithographe;0;10310;10310;und;0;Il est marié et père de 6 enfants;plain_text
node;imprimeur_lithographe;0;10311;10311;und;0;Son père est teinturier;plain_text
node;imprimeur_lithographe;0;10314;10314;und;0;Son père est secrétaire de la Préfecture / Il est chevalier de la Légion d'HonneurSon père est secrétaire de la Préfecture / Il est chevalier de la Légion d'Honneur;plain_text
node;imprimeur_lithographe;0;10315;10315;und;0;Son père était gendarme;plain_text
node;imprimeur_lithographe;0;10318;10318;und;0;Elle est veuve avec 2 enfants / Son père est garde moulin;plain_text
node;imprimeur_lithographe;0;10320;10320;und;0;Sa mère est ouvrière;plain_text
node;imprimeur_lithographe;0;10321;10321;und;0;Son père est jardinier;plain_text
node;imprimeur_lithographe;0;10324;10324;und;0;Son père est aubergiste;plain_text
node;imprimeur_lithographe;0;10325;10325;und;0;Son père est bonnetier;plain_text
node;imprimeur_lithographe;0;10326;10326;und;0;Son père est propriétaire / Il est marié et père de 4 enfants;plain_text
node;imprimeur_lithographe;0;10327;10327;und;0;Il est veuf avec 4 enfants;plain_text
node;imprimeur_lithographe;0;10328;10328;und;0;Son père est instituteur;plain_text
node;imprimeur_lithographe;0;10330;10330;und;0;Son père était meunier et cultivateur;plain_text
node;imprimeur_lithographe;0;10331;10331;und;0;Son père est receveur des domaines / Il a été naturalisé en 1848;plain_text
node;imprimeur_lithographe;0;10332;10332;und;0;Son père est boulanger;plain_text
node;imprimeur_lithographe;0;10333;10333;und;0;Son père est procureur au baillage de Semur en Brionnais.;plain_text
node;imprimeur_lithographe;0;10334;10334;und;0;Son père est épicier / Il est marié et père de 5 enfantsSon père est épicier / Il est marié et père de 5 enfantsSon père est épicier / Il est marié et père de 5 enfantsSon père est épicier / Il est marié et père de 5 enfants;plain_text
node;imprimeur_lithographe;0;10336;10336;und;0;Son père était peintre;plain_text
node;imprimeur_lithographe;0;10338;10338;und;0;Son père était boulanger;plain_text
node;imprimeur_lithographe;0;10339;10339;und;0;Son père était d'origine espagnole et exerçait le métier de serrurier. Il a été naturalisé en 1847.;plain_text
node;imprimeur_lithographe;0;10344;10344;und;0;Son père était marchand;plain_text
node;imprimeur_lithographe;0;10345;10345;und;0;Son père était orfèvre, il a été victime de la Révolution.;plain_text
node;imprimeur_lithographe;0;10348;10348;und;0;Son père était maréchal des logis.;plain_text
node;imprimeur_lithographe;0;10349;10349;und;0;Son père était ménager;plain_text
node;imprimeur_lithographe;0;10351;10351;und;0;Son père était tisserand;plain_text
node;imprimeur_lithographe;0;10352;10352;und;0;Ses parents étant très pauvres, il a été élevé au patronage de ND de Grâce;plain_text
